"1","가담 노을길","횡성읍내 가담리 꽃길을 걸을수 있는 가담노을길","1.2","1시간","전천교","강원도 횡성군 횡성읍 수류암로 383","강원도 횡성군 횡성읍 입석리 110-2","하수종말처리장 건너편","강원도 횡성군 횡성읍 수류암로 335","강원도 횡성군 횡성읍 가담리 534","가담리 뚝방길","033-340-2546","횡성군청 관광개발계","2019-06-10","37.48210533","127.9804803","4260000","강원도 횡성군"
"2","가림산둘레길","가림산 둘레길은 하안5단지와 하안배소지를 경유해 안터마을 일원과 생태공원을 지나 시민체육관으로 되돌아오는 순환형 산책로다. 총길이 2.6㎞ ,폭4m이며 크게 높지 않고 경사도 완만하여 누구나 걷기 좋은 둘레길이다. 남녀노소 누구나 쉽고 편하게 걸을 수 있으며 햇살을 만끽하며 걷기엔 더없이 좋은 길이다.","2","40분","시민체육관","경기도 광명시 오리로 577","","시민체육관","경기도 광명시 오리로 577","","시민체육관→안터생태공원→하안배수지→하안5단지→시민체육관","02-2680-2222","광명시청 도로과","2019-09-09","","","3900000","경기도 광명시"
"3","가야사 누리길","가야유적지와 지역 명물 등이 하나로 연결 돼 길을 걸으면서 역사, 문화, 자연 체험 등을 할 수 있는 투어","5","2시간","수로왕릉역","경상남도 김해시 김해대로 2181","","수로왕릉역","경상남도 김해시 김해대로 2181","","수로왕릉역 (김해 터미널) ~ 대성동 고분과 고분박물관 ~ 국립김해박물관 ~ 구지봉 ~ 수로왕비릉 ~ 김해향교 ~ 김해읍성 북문 ~ 김해전통시장 ~ 수로왕릉 ~ 수릉원과 김해민속박물관 ~ 봉황동 유적 ~ 수롱왕릉역 (김해 터미널)","055-330-4439","공원녹지과","2019-06-24","35.23281985","128.8721425","5350000","경상남도 김해시"
"4","가족레저 체험코스","온 가족이 함께 즐기고 체험할 수 있는 패밀리 레저코스","3","1.5","신내역","서울특별시 중랑구 신내역로 20","서울특별시 중랑구 망우동 320","우림시장","서울특별시 중랑구 망우로62길 52-4","서울특별시 중랑구 망우동 463-45","신내역 → 양원리 우물터 → 동래정씨 집성촌 → 중랑캠핑숲 → 나들이공원 → 극락사 → 오작교 → 망우리 웰컴센터","02-2094-1814","중랑구청","2019-05-29","37.61279107","127.1032208","3060000","서울특별시 중랑구"
"5","가창 누리길","주변 놀이공간과 문화유적지, 자연생태탐방을 함께 즐길 수 있는 시골 산길","24.5","7시간","단산리마을회관","대구광역시 달성군 가창면 단산3길 27-9","대구광역시 달성군 가창면 단산리 271","행정2리 마을회관","대구광역시 달성군 가창면 흥덕길 24","대구광역시 달성군 가창면 행정리 475-9","1구간 : 단산리마을회관 → 가창성당(5.2km), 2구간 : 가창체육공원 → 가창체육공원(7.7km), 3구간 : 행정교 앞 → 행정2리 마을화관앞(11.6km)","053-668-3763","대구광역시 달성군청","2019-06-25","35.76521094","128.6641482","3480000","대구광역시 달성군"
"6","가평뒷동산길","가평뒷동산 순환코스","10","3시간 30분","가평역","경기도 가평군 가평읍 문화로 13-42","경기도 가평군 가평읍 달전리 569","가평역","경기도 가평군 가평읍 문화로 13-42","경기도 가평군 가평읍 달전리 569","가평역→가평교→가평천제방로→승안교→경반리마을회관→경반교→경반리고개→애림관→성황당고개→축구공원→가평오거리→가평역","031-580-2481","가평군청 산림과","2019-05-10","37.81424855","127.5110192","4160000","경기도 가평군"
"7","가평옛길","가평역~상천역","9","3시간 10분","가평역","경기도 가평군 가평읍 문화로 13-42","경기도 가평군 가평읍 달전리 569","상천역","경기도 가평군 청평면 상천역로 29","경기도 가평군 청평면 상천리 1259","가평역→사이클테마공원→빗고개→에덴휴게소(뒤)→상천역","031-580-2481","가평군청 산림과","2019-05-10","37.81424855","127.5110192","4160000","경기도 가평군"
"8","가평천물안길","가평역~북면터미널","13","4시간 30분","가평역","경기도 가평군 가평읍 문화로 13-42","경기도 가평군 가평읍 달전리 569","목동버스터미널","경기도 가평군 북면 화악산로11번길 5","경기도 가평군 북면 목동리 901-11","가평전철역→자라섬안내소→가평교→자라목→약수터→엽광촌→개곡교(고려시리카)→이곡리(가북교)→가평북중→북면버스종점","031-580-2481","가평군청 산림과","2019-05-10","37.81424855","127.5110192","4160000","경기도 가평군"
"9","간절곶 소망길","간절곶 소망길은 해변산책과 조망 동선의 연결에 주안점을 두고, 기존 백사장을 활용하여 지형변화를 최소화 하여 자연친화적인 노선을 설정하였다. 해안선을 따라 자연경관을 즐기고 바다 내음을 맡을 수 있는 자연의 길로 조성되어 있다.","10","3시간30분","명선교","울산광역시 울주군 온산읍 강양길 109-1","울산광역시 울주군 온산읍 강양리 899-1","신암항","울산광역시 울주군 서생면 신암리 278-1","울산광역시 울주군 서생면 신암리 278-1","명선교 ~ 간절곶 ~ 신암항","052-204-0333","울주군 문화관광과","2019-06-11","35.39170222","129.3453547","3730000","울산광역시 울주군"
"10","간절곶 소망길","간절곶 소망길은 해변산책과 조망 동선의 연결에 주안점을 두고, 기존 백사장을 활용하여 지형변화를 최소화 하여 자연친화적인 노선을 설정하였다. 해안선을 따라 자연경관을 즐기고 바다 내음을 맡을 수 있는 자연의 길로 조성되어 있다.","10","3시간30분","명선교","울산광역시 울주군 온산읍 강양길 109-1","울산광역시 울주군 온산읍 강양리 899-1","신암항","울산광역시 울주군 서생면 신암리 278-1","울산광역시 울주군 서생면 신암리 278-1","명선교 ~ 간절곶 ~ 신암항","052-204-0333","울주군 문화관광과","2019-09-18","35.39170222","129.3453547","6310000","울산광역시"
"11","갈맷길 2-2 구간","남천동 49호 광장 ~ 민락교","4","1시간","남천동 49호 광장","부산광역시 수영구 광안해변로","","민락교","부산광역시 수영구 민락수변로","","남천동 49호 광장 ~ 민락교","051-610-4792","부산광역시 수영구","2019-06-25","35.15518815","129.121771","3380000","부산광역시 수영구"
"12","갈맷길 2-2코스","갈맷길 2-2코스 중 일부","6.7","3시간","광안대교","","부산광역시 수영구 남천동","오륙도유람선선착장","","부산광역시 남구 용호동 산 196-4","광안대교-동생말-어울마당-오륙도유람선선착장","051-607-4122","부산광역시 남구청","2019-08-23","35.14275668","129.1103764","3310000","부산광역시 남구"
"13","갈맷길 3-1코스","갈맷길 3-1코스 전부","11.5","4시간","오륙도유람선선착장","","부산광역시 남구 용호동 산 196-4","부산진시장","부산광역시 동구 진시장로 24","부산광역시 동구 범일동 290-1","오륙도유람선선착장-신선대-UN기념공원-(구)부산외대-부산진시장","051-607-4122","부산광역시 남구청","2019-08-23","35.10011357","129.1225749","3310000","부산광역시 남구"
